"Fact","Fact Note","New York city, New York","Value Note for New York city, New York"
"Population Estimates, July 1 2021, (V2021)","","8,467,513",""
"Population estimates base, April 1, 2020, (V2021)","","8,804,190",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-3.8%",""
"Population, Census, April 1, 2020","","8,804,190",""
"Population, Census, April 1, 2010","","8,175,133",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","20.7%",""
"Persons 65 years and over, percent","","14.9%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","41.3%",""
"Black or African American alone, percent","(a)","23.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","14.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","5.6%",""
"Hispanic or Latino, percent","(b)","28.9%",""
"White alone, not Hispanic or Latino, percent","","31.9%",""
"Veterans, 2016-2020","","142,897",""
"Foreign born persons, percent, 2016-2020","","36.4%",""
"Housing units, July 1, 2021, (V2021)","","X",""
"Owner-occupied housing unit rate, 2016-2020","","32.8%",""
"Median value of owner-occupied housing units, 2016-2020","","$635,200",""
"Median selected monthly owner costs -with a mortgage, 2016-2020","","$2,791",""
"Median selected monthly owner costs -without a mortgage, 2016-2020","","$925",""
"Median gross rent, 2016-2020","","$1,489",""
"Building permits, 2021","","X",""
"Households, 2016-2020","","3,191,691",""
"Persons per household, 2016-2020","","2.57",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","","48.0%",""
"Households with a computer, percent, 2016-2020","","90.8%",""
"Households with a broadband Internet subscription, percent, 2016-2020","","84.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2016-2020","","82.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","","39.1%",""
"With a disability, under age 65 years, percent, 2016-2020","","6.9%",""
"Persons  without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2016-2020","","63.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2016-2020","","58.8%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","38,941,921",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","NA",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","29,800,369",""
"Total retail sales, 2017 ($1,000)","(c)","116,309,814",""
"Total retail sales per capita, 2017","(c)","$13,785",""
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020","","41.4",""
"Median household income (in 2020 dollars), 2016-2020","","$67,046",""
"Per capita income in past 12 months (in 2020 dollars), 2016-2020","","$41,625",""
"Persons in poverty, percent","","17.3%",""
"Total employer establishments, 2020","","X",""
"Total employment, 2020","","X",""
"Total annual payroll, 2020 ($1,000)","","X",""
"Total employment, percent change, 2019-2020","","X",""
"Total nonemployer establishments, 2019","","X",""
"All employer firms, Reference year 2017","","205,592",""
"Men-owned employer firms, Reference year 2017","","131,584",""
"Women-owned employer firms, Reference year 2017","","45,114",""
"Minority-owned employer firms, Reference year 2017","","64,514",""
"Nonminority-owned employer firms, Reference year 2017","","125,877",""
"Veteran-owned employer firms, Reference year 2017","","5,506",""
"Nonveteran-owned employer firms, Reference year 2017","","185,582",""
"Population per square mile, 2020","","29,303.2",""
"Population per square mile, 2010","","27,012.4",""
"Land area in square miles, 2020","","300.45",""
"Land area in square miles, 2010","","302.64",""
"FIPS Code","","""3651000""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
